team,strength,poisson,negbin,elo,colley,pagerank,logit,knn,rf,nn,xgb,market,consensus
Japan,1900,0.79,0.8500000000000001,0.69,0.41000000000000003,0.27,0.59,0.9900000000000001,1.34,1.2449999999999999,1.22,1.7508367485736704,0.8394999999999999
Switzerland,1860,0.43,0.585,0.43,1.87,1.905,0.375,0.385,0.52,0.48,0.315,1.102378693546385,0.7295
Senegal,1895,0.63,0.63,0.5950000000000001,0.5349999999999999,0.015,0.605,0.8750000000000001,0.95,1.0699999999999998,0.8750000000000001,1.3327264802575702,0.678
Sweden,1815,0.185,0.15,0.11499999999999999,4.09,0.02,0.22,0.06,0.135,0.20500000000000002,0.095,,0.5275
Austria,1850,0.325,0.325,0.265,1.55,0.08,0.27499999999999997,0.17500000000000002,0.41000000000000003,0.40499999999999997,0.16,,0.39699999999999996
Mexico,1820,0.25,0.19499999999999998,0.2,1.2349999999999999,0.245,0.215,0.12,0.24,0.35000000000000003,0.215,,0.3265
Norway,1855,0.305,0.33,0.29,0.185,0.06,0.32,0.35500000000000004,0.53,0.49,0.27499999999999997,,0.31399999999999995
Ecuador,1840,0.315,0.32,0.27,0.42500000000000004,0.025,0.33,0.245,0.385,0.4,0.38999999999999996,,0.3105
Türkiye,1840,0.385,0.365,0.29,0.06,0.01,0.25,0.215,0.42,0.42500000000000004,0.445,,0.2865
United States,1805,0.17500000000000002,0.20500000000000002,0.155,1.045,0.05,0.2,0.065,0.2,0.185,0.13,,0.24099999999999996
Czechia,1815,0.19499999999999998,0.15,0.25,0.045,0.05,0.23500000000000001,0.15,0.315,0.23500000000000001,0.17500000000000002,,0.18
Iran,1800,0.2,0.165,0.105,0.045,0.005,0.19499999999999998,0.09,0.23500000000000001,0.23500000000000001,0.075,,0.13499999999999998
South Africa,1640,0.005,0.01,0.0,1.145,0.0,0.0,0.04,0.034999999999999996,0.0,0.005,,0.124
Ivory Coast,1800,0.16,0.16999999999999998,0.08,0.13,0.0,0.145,0.065,0.165,0.165,0.045,,0.1125
Paraguay,1720,0.02,0.02,0.015,0.865,0.005,0.034999999999999996,0.05,0.08,0.005,0.0,,0.1095
South Korea,1790,0.11499999999999999,0.08499999999999999,0.105,0.055,0.05,0.155,0.075,0.185,0.16999999999999998,0.04,,0.1035
Canada,1780,0.12,0.19499999999999998,0.06999999999999999,0.0,0.005,0.065,0.105,0.19499999999999998,0.11,0.03,,0.0895
Algeria,1795,0.145,0.15,0.06,0.06999999999999999,0.015,0.095,0.055,0.11,0.11499999999999999,0.025,,0.08399999999999999
Egypt,1780,0.11,0.16,0.095,0.0,0.005,0.095,0.04,0.17500000000000002,0.105,0.0,,0.07849999999999999
Scotland,1780,0.06999999999999999,0.075,0.06999999999999999,0.0,0.0,0.155,0.055,0.1,0.06999999999999999,0.025,,0.062
New Zealand,1500,0.0,0.0,0.0,0.385,0.005,0.0,0.05,0.05,0.0,0.01,,0.05
Ghana,1750,0.045,0.045,0.04,0.034999999999999996,0.01,0.06,0.025,0.125,0.03,0.055,,0.04699999999999999
Bosnia-Herzegovina,1710,0.01,0.01,0.015,0.04,0.005,0.015,0.06999999999999999,0.13999999999999999,0.005,0.01,,0.032
Australia,1720,0.015,0.03,0.01,0.03,0.015,0.01,0.045,0.08,0.034999999999999996,0.02,,0.029000000000000005
Qatar,1680,0.02,0.01,0.005,0.0,0.005,0.005,0.045,0.075,0.01,0.01,,0.0185
Congo DR,1720,0.015,0.01,0.02,0.005,0.0,0.02,0.025,0.06999999999999999,0.005,0.005,,0.017499999999999998
Saudi Arabia,1655,0.005,0.0,0.0,0.01,0.005,0.0,0.02,0.11,0.0,0.015,,0.016500000000000004
Tunisia,1700,0.015,0.02,0.005,0.06,0.0,0.0,0.045,0.02,0.0,0.0,,0.016499999999999997
Uzbekistan,1680,0.0,0.005,0.005,0.005,0.005,0.01,0.025,0.08,0.01,0.0,,0.014500000000000002
Jordan,1600,0.0,0.0,0.0,0.0,0.0,0.0,0.034999999999999996,0.055,0.0,0.0,,0.009
Iraq,1650,0.005,0.0,0.0,0.0,0.0,0.005,0.034999999999999996,0.02,0.0,0.0,,0.006500000000000001
Panama,1650,0.0,0.0,0.01,0.0,0.0,0.005,0.02,0.03,0.0,0.0,,0.006500000000000001
Haiti,1500,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.045,0.0,0.0,,0.006
Cape Verde,1555,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.045,0.0,0.005,,0.0055
Curacao,1530,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.045,0.0,0.0,,0.004999999999999999
